28,28,28,28,28,28,28
28,28,28,28,28,28,28
28,28,28,28,28,28,28
28,28,28,28,28,28,0
28,0,28,28,28,0,28
28,0,28,28,28,28,28
28,28,28,28,28,28,28
28,28,28,28,28,28,28
28,28,28,28,28,28,28
28,28,28,28,28,26,28
28,28,28,28,28,28,28
28,28,28,28,26,28,28
28,28,28,28,28,28,28
28,28,28,28,26,28,28
28,28,28,28,26,28,26
28,28,28,28,28,28,28
28,28,28,28,28,28,28
28,28,28,28,28,28,28
28,28,28,28,28,28,28
28,28,28,28,28,28,28
28,28,28,28,28,28,28
28,28,28,28,28,28,28
28,28,28,28,28,28,28
28,28,28,28,28,28,28
