MIST	
Room	ID	Volume	Net Lettable	Circulation	Occupancy	Floor - Ground	Floor - Upper	Floor - Total	Floor - Void	Floor - Win	Floor - Door	Floor - Hole	Floor - WinCount	Floor - DoorCount	Floor - HoleCount	Roof - Gross	Roof - Net	Roof - Win	Roof - Door	Roof - Hole	Roof - WinCount	Roof - DoorCount	Roof - HoleCount	Ceiling	Ext. Wall - Gross	Ext. Wall - Net	Ext. Wall - Win	Ext. Wall - Door	Ext. Wall - Hole	Ext. Wall - WinCount	Ext. Wall - DoorCount	Ext. Wall - HoleCount	Ext. Wall - Adj	Partition - Gross	Partition - Net	Partition - Win	Partition - Door	Partition - Hole	 Partition - DoorCount	 Partition - WinCount	 Partition - HoleCount	
hi-bay#	HBY_0133	44.1620	 12.6180	 0.0000	 0	 1.8860	 10.7320	 12.6180	 0.0000	 0.0000	 0.0000	 0.0000	 0	 0	 0	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0	 0	 0	 12.6180	 18.8700	 3.1380	 15.7320	 0.0000	 0.0000	 2	 0	 0	 16.3830	 16.3830	 16.3830	 0.0000	 0.0000	 0.0000	 0	 0	 0	 
hi-bay#	HBY_0132	217.1260	 62.0360	 0.0000	 0	 62.0360	 0.0000	 62.0360	 0.0000	 0.0000	 0.0000	 0.0000	 0	 0	 0	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0	 0	 0	 62.0360	 87.8200	 65.2380	 22.5820	 0.0000	 0.0000	 3	 0	 0	 32.9010	 32.9010	 32.9010	 0.0000	 0.0000	 0.0000	 0	 0	 0	 
hi-bay#	HBY_0131	106.1270	 30.3220	 0.0000	 0	 26.4500	 3.8720	 30.3220	 0.0000	 0.0000	 0.0000	 0.0000	 0	 0	 0	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0	 0	 0	 30.3220	 48.1240	 8.0020	 40.1220	 0.0000	 0.0000	 3	 0	 0	 29.1670	 29.1670	 29.1670	 0.0000	 0.0000	 0.0000	 0	 0	 0	 
hi-bay#	HBY_0130	274.2410	 78.3540	 0.0000	 0	 47.9170	 30.4370	 78.3540	 0.0000	 0.0000	 0.0000	 0.0000	 0	 0	 0	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0	 0	 0	 78.3530	 87.6390	 65.1030	 22.5360	 0.0000	 0.0000	 4	 0	 0	 42.2940	 42.2940	 42.2940	 0.0000	 0.0000	 0.0000	 0	 0	 0	 
hi-bay#	HBY_0161	73.2360	 20.9250	 0.0000	 0	 0.0000	 20.9250	 20.9250	 0.0000	 0.0000	 0.0000	 0.0000	 0	 0	 0	 1.9830	 1.9830	 0.0000	 0.0000	 0.0000	 0	 0	 0	 18.9420	 33.4560	 33.4560	 0.0000	 0.0000	 0.0000	 0	 0	 0	 32.8630	 32.8630	 32.8630	 0.0000	 0.0000	 0.0000	 0	 0	 0	 
hi-bay#	HBY_0162	34.5240	 9.8640	 0.0000	 0	 2.0070	 7.8570	 9.8640	 0.0000	 0.0000	 0.0000	 0.0000	 0	 0	 0	 1.9410	 1.9410	 0.0000	 0.0000	 0.0000	 0	 0	 0	 7.9230	 22.1180	 22.1180	 0.0000	 0.0000	 0.0000	 0	 0	 0	 22.1180	 22.1180	 22.1180	 0.0000	 0.0000	 0.0000	 0	 0	 0	 
hi-bay#	HBY_0163	73.2360	 20.9250	 0.0000	 0	 20.9250	 0.0000	 20.9250	 0.0000	 0.0000	 0.0000	 0.0000	 0	 0	 0	 18.7220	 18.7220	 0.0000	 0.0000	 0.0000	 0	 0	 0	 2.2030	 53.1920	 53.1920	 0.0000	 0.0000	 0.0000	 0	 0	 0	 13.1270	 13.1270	 13.1270	 0.0000	 0.0000	 0.0000	 0	 0	 0	 
hi-bay#	HBY_0164	33.9870	 9.7100	 0.0000	 0	 0.0000	 9.7100	 9.7100	 0.0000	 0.0000	 0.0000	 0.0000	 0	 0	 0	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0	 0	 0	 9.7100	 12.1470	 2.1350	 10.0120	 0.0000	 0.0000	 2	 0	 0	 19.0070	 19.0070	 19.0070	 0.0000	 0.0000	 0.0000	 0	 0	 0	 
hi-bay#	HBY_0165	123.7870	 35.3680	 0.0000	 0	 5.2860	 30.0820	 35.3680	 0.0000	 0.0000	 0.0000	 0.0000	 0	 0	 0	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0	 0	 0	 35.3680	 52.8900	 8.7940	 44.0960	 0.0000	 0.0000	 2	 0	 0	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0	 0	 0	 
hi-bay#	HBY_0166	95.5910	 27.3120	 0.0000	 0	 3.6590	 23.6530	 27.3120	 0.0000	 0.0000	 0.0000	 0.0000	 0	 0	 0	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0	 0	 0	 27.3120	 49.9200	 8.3000	 41.6200	 0.0000	 0.0000	 2	 0	 0	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0	 0	 0	 
